Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2525.000,2181.000,
2007-02-01,,2447.000,2130.000,
2007-03-01,,2462.000,2146.000,
2007-04-01,,2495.000,2166.000,
2007-05-01,,2520.000,2191.000,
2007-06-01,,2541.000,2209.000,
2007-07-01,,2581.000,2243.000,
2007-08-01,,2618.000,2271.000,
2007-09-01,,2637.000,2292.000,
2007-10-01,,2648.000,2303.000,
2007-11-01,,2670.000,2315.000,
2007-12-01,,2677.000,2322.000,
2008-01-01,,2677.000,2319.000,
2008-02-01,,2675.000,2322.000,
2008-03-01,,2681.000,2328.000,
2008-04-01,,2680.000,2328.000,
2008-05-01,,2682.000,2329.000,
2008-06-01,,2682.000,2330.000,
2008-07-01,,2682.000,2331.000,
2008-08-01,,2683.000,2333.000,
2008-09-01,,2671.000,2324.000,
2008-10-01,,2644.000,2301.000,
2008-11-01,,2614.000,2277.000,
2008-12-01,,2577.000,2245.000,
2009-01-01,,2542.000,2215.000,
2009-02-01,,2508.000,2188.000,
2009-03-01,,2481.000,2165.000,
2009-04-01,,2456.000,2143.000,
2009-05-01,,2438.000,2128.000,
2009-06-01,,2428.000,2120.000,
2009-07-01,,2429.000,2120.000,
2009-08-01,,2424.000,2116.000,
2009-09-01,,2424.000,2117.000,
2009-10-01,,2418.000,2112.000,
2009-11-01,,2406.000,2102.000,
2009-12-01,,2399.000,2096.000,
2010-01-01,1852.000,2404.000,2100.000,
2010-02-01,1838.000,2410.000,2105.000,
2010-03-01,1847.000,2413.000,2107.000,
2010-04-01,1856.000,2421.000,2114.000,
2010-05-01,1872.000,2434.000,2124.000,
2010-06-01,1888.000,2448.000,2138.000,
2010-07-01,1893.000,2465.000,2152.000,
2010-08-01,1902.000,2480.000,2165.000,
2010-09-01,1906.000,2496.000,2178.000,
2010-10-01,1921.000,2507.000,2188.000,
2010-11-01,1912.000,2513.000,2192.000,
2010-12-01,1932.000,2521.000,2200.000,
2011-01-01,1933.000,2533.000,2210.000,
2011-02-01,1938.000,2545.000,2220.000,
2011-03-01,1935.000,2559.000,2231.000,
2011-04-01,1956.000,2576.000,2247.000,
2011-05-01,1973.000,2590.000,2259.000,
2011-06-01,1987.000,2608.000,2275.000,
2011-07-01,2002.000,2628.000,2292.000,
2011-08-01,2018.000,2644.000,2306.000,
2011-09-01,2029.000,2658.000,2319.000,
2011-10-01,2042.000,2672.000,2331.000,
2011-11-01,2050.000,2677.000,2336.000,
2011-12-01,2050.000,2681.000,2339.000,
2012-01-01,2053.000,2688.000,2345.000,1739.000
2012-02-01,2063.000,2697.000,2353.000,1774.000
2012-03-01,2067.000,2711.000,2364.000,1785.000
2012-04-01,2087.000,2724.000,2376.000,1778.000
2012-05-01,2100.000,2741.000,2392.000,1798.000
2012-06-01,2113.000,2754.000,2403.000,1791.000
2012-07-01,2128.000,2770.000,2418.000,1799.000
2012-08-01,2141.000,2783.000,2429.000,1789.000
2012-09-01,2152.000,2792.000,2436.000,1803.000
2012-10-01,2164.000,2798.000,2442.000,1804.000
2012-11-01,2182.000,2804.000,2449.000,1816.000
2012-12-01,2193.000,2804.000,2452.000,1819.000
2013-01-01,2197.000,2807.000,2455.000,1823.000
2013-02-01,2203.000,2817.000,2463.000,1820.000
2013-03-01,2208.000,2824.000,2469.000,1819.000
2013-04-01,2221.000,2833.000,2477.000,1823.000
2013-05-01,2239.000,2850.000,2493.000,1838.000
2013-06-01,2255.000,2862.000,2505.000,1845.000
2013-07-01,2275.000,2874.000,2517.000,1863.000
2013-08-01,2288.000,2885.000,2527.000,1871.000
2013-09-01,2296.000,2894.000,2535.000,1879.000
2013-10-01,2305.000,2899.000,2540.000,1878.000
2013-11-01,2306.000,2898.000,2538.000,1876.000
2013-12-01,2305.000,2893.000,2534.000,1871.000
2014-01-01,2306.000,2896.000,2537.000,1876.000
2014-02-01,2313.000,2900.000,2541.000,1880.000
2014-03-01,2314.000,2907.000,2546.000,1883.000
2014-04-01,2327.000,2923.000,2560.000,1895.000
2014-05-01,2343.000,2941.000,2576.000,1900.000
2014-06-01,2357.000,2955.000,2588.000,1907.000
2014-07-01,2370.000,2968.000,2600.000,1922.000
2014-08-01,2385.000,2983.000,2615.000,1934.000
2014-09-01,2391.000,2989.000,2621.000,1949.000
2014-10-01,2391.000,2993.000,2625.000,1956.000
2014-11-01,2393.000,2993.000,2625.000,1959.000
2014-12-01,2395.000,2994.000,2626.000,1964.000
2015-01-01,2404.000,2999.000,2633.000,1976.000
2015-02-01,2411.000,3010.000,2641.000,1984.000
2015-03-01,2417.000,3022.000,2651.000,1985.000
2015-04-01,2430.000,3038.000,2664.000,1993.000
2015-05-01,2443.000,3058.000,2681.000,2003.000
2015-06-01,2458.000,3076.000,2696.000,2009.000
2015-07-01,2473.000,3091.000,2710.000,2027.000
2015-08-01,2484.000,3103.000,2722.000,2038.000
2015-09-01,2495.000,3109.000,2729.000,2046.000
2015-10-01,2497.000,3110.000,2730.000,2048.000
2015-11-01,2499.000,3105.000,2727.000,2046.000
2015-12-01,2498.000,3101.000,2725.000,2046.000
2016-01-01,2500.000,3100.000,2725.000,2050.000
